279,170
277,170
276,168
274,168
270,174
265,181
261,194
257,197
255,211
249,225
248,244
248,261
254,285
257,296
261,308
269,317
277,322
289,321
302,321
314,312
324,299
328,283
335,268
340,251
342,236
343,222
346,209
344,202
343,196
344,192
344,194
344,197
344,205
343,213
344,228
345,243
347,258
349,275
353,294
359,310
367,325
376,337
389,346
402,350
415,345
428,340
441,328
449,314
464,274
463,262
464,245
464,230
460,217
459,205
455,194
452,182
447,174
445,169
444,169
444,170
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
