367,177
371,171
375,167
375,163
376,158
371,153
368,146
364,139
357,133
349,127
342,123
332,119
319,118
306,122
296,127
284,134
275,142
268,155
267,163
269,172
273,180
284,194
299,199
314,206
328,208
343,213
358,225
368,237
374,249
379,262
379,275
374,291
365,300
348,321
335,354
321,342
312,327
300,322
290,315
282,308
274,299
268,289
264,280
261,270
259,260
258,250
259,237
257,226
258,215
260,211
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
